Mzvalue,row ID,RT,Sample.0,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.15a,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21a,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5
478.6905756,844,3.819635788,9599.425781,12668.61328,12647.45898,22202.79297,9741.053711,16256.61133,10962.94434,11313.16113,15942.78516,11540.9707,3493.704346,10054.42285,9280.050781,7912.121094,9603.300781,15904.33887,10656.65039,6095.768066,3830.914795,5790.251953,11120.1748,3789.894531,4441.739746,21523.32031,22535.53516,20565.0293,21068.91992,17140.22266
102.9092542,3941,0.929849769,119035.8828,30331.03711,82920.6875,129962.375,32441.67969,110566.8516,40199.01172,46929.42578,167594.7656,125138.7031,24370.05469,155024,157539.5,77612.42969,163251.3438,87116.57031,143320.0313,44111.35938,25416.76172,23873.75977,147838.9844,22345.22461,22937.81055,53086.19922,44575.39844,21450.2168,29723.3418,10694.30957
65.23059632,3255,7.9248424,125970.7422,62646.32813,125467.0391,144058.5313,56243.39453,133087.9063,86614.97656,63908.23047,174063.4688,140391.25,35153.1875,151069.7031,160809.1875,107917.2109,164584.1406,125311.9922,141952.8125,51506.86328,29109.33984,33039.375,157877.5469,20199.04297,24861.00586,58616.23828,50389.46875,35234.51563,44862.92578,22217.41016
276.5649151,3923,6.458407924,126897.4219,40181.55078,97211.9375,138162.7031,36850.07031,116832.4844,54690.47656,45204.55078,176299.125,129871.1484,21579.85352,161101.8906,161948.4375,91104.35156,172221.8281,102137.8672,143008.3438,40714.72656,24237.78125,20770.92383,158355.1563,19024.25391,20418.37695,61012.27734,48762.19531,27282.50977,38675.03516,13933.65723
152.423158,3256,8.800263013,127155.9219,36048.14063,90921.86719,136289.8125,35615.10156,124401.0391,44361.64844,54379.95313,160758.0469,134296.6719,34726.22656,155014.4531,161104.2813,83311,163871.2656,93319.04688,144470.5781,64031.91016,39858.61719,32513.57227,152428.25,26422.63672,33728.28906,53120.98438,48856.30078,24406.87891,28856.19922,12753.36133
333.5359647,856,5.445649367,138592.0625,48613.76953,107569.9375,141881.125,49531.36719,133728.3594,61861.17969,74993,158181.6719,155914.9375,86062.42969,160754.2188,158457.6563,101284.1328,169103.875,110117.7266,149321.5469,120131.4375,91823.64844,57039.95313,213626.0469,56272.70703,53614.26953,51646.48047,50113.54297,33332.18359,38334.58594,20819.08398
304.9282977,865,1.768767996,128538.9609,62646.32813,121685.1797,142957.7188,51771.88672,127475.0156,43351.94141,54756.67578,176424.2969,139651.0313,31631.26758,162218.7031,164441.1406,98636.17188,175936.5313,117627.7891,146923.5469,42880.00781,27560.36914,29519.83203,158355.1563,19940.08008,23759.7207,61137.64063,51055.21094,31085.94141,43077.95703,21577.83594
616.4945879,3779,10.06691029,138592.0625,42081.55078,98075.28125,138085.625,42850.06641,126558.3438,53800.66016,64753.80859,160758.0469,155914.9375,68066.78906,160754.2188,161104.2813,94710.28125,169103.875,102683.5313,148114.9531,103768.4063,72748.01563,49180.13672,213626.0469,49702.52734,44811.94922,53500.57031,48739.41016,29674.92773,37297.375,17048.94922
97.35940759,3909,2.5065476,126809.9844,79913.07813,143321.2031,159749.7969,67548.08594,144003,99118.39844,97094.46094,180005.9375,147080.0469,34252.62109,154022.6406,162612.3281,122723.0234,170517.9375,143036.0469,143435.6719,95534.71094,41706.44922,37826.65625,166290.3125,22160.29492,24590.30859,61157.33594,52642.04297,45514.64844,53158.10156,29188.00586
287.9925413,1271,3.079549505,135858.9219,106609.7578,135000.9063,142100.4688,115104.1563,147530.6563,116902.3516,110242.0781,157174.2344,147028.7969,94441.5,145054.7344,144321.6563,113090,148916.5938,130217.7344,131209.2656,155750.75,140657.2031,119955,157150.5313,115013.1641,126302,49438.52734,48794.36328,44149.53906,47754.73047,37961.83984
300.2345864,1445,3.742681539,122513.3203,33850.38281,86474.94531,133742.9688,36461.37891,121310.7344,41054.02344,48825.75781,155632.2031,125116.8125,32741.76563,152218.8438,148041.0781,79480.75781,153691.4375,89241.42969,146453.0938,58061.63281,34227.95313,31554.82617,150375.8125,28146.64063,29002.58203,52367.30469,47360.45313,23200.57813,30698,12784.81152
452.3913476,1419,8.709127222,127946.0938,36048.14063,90921.86719,137900.1719,36532.47656,124401.0391,46785.36328,54379.95313,167791.7188,134296.6719,35638.16406,157603.0313,164526.7031,83311,165206.9375,93319.04688,148322.0781,64682.64844,41569.69141,35655.21875,153953.1875,29158.33398,35276.375,56383.12109,48961.56641,24406.87891,30453.95313,14029.69922
311.2031721,3922,7.216564897,128538.9609,43244.10938,103223.4297,135922,37386.75,116288.3516,61016.375,45901.95703,171410.5938,131690.3594,22561.14453,153273.875,157613.2656,89978.16406,166664.4531,103080.6719,139334.7188,36738.03906,24712.25,23381.625,157369.25,17335.02734,21457.32031,61137.64063,49360.76953,25485.33008,39619.91797,15270.64063
280.7519448,3259,6.960664319,127946.0938,35605.00781,87218.28125,137900.1719,36461.37891,121522.75,45774.98047,53542.46484,173420.1406,131828.9844,35468.05469,162218.7031,164526.7031,82660.13281,170842.5938,91129.22656,148322.0781,61492.72656,35736.43359,31989.07031,154869.625,28146.64063,30383.06641,56383.12109,48961.56641,24180.50781,32410.06641,12999.19531
2.982347558,3929,10.71373875,124185.1406,33676.12891,92655.5625,130419.3516,31515.29688,116607.0703,47471.41016,44309.94922,162701.3281,124655,21329.07031,158670.8125,164441.1406,86851.92969,170989.3438,95803.60156,141332.0469,41485.69531,24880.62695,20187.94336,152421.6406,19940.08008,19784.93164,55467.47266,47623.30078,22052.4375,35739.58203,12217.5293
235.346345,1454,12.7342864,130994.8438,122161.5625,147091.6563,159749.7969,117819.3828,155410.7656,132871.0938,120302.1172,182086.0625,148971,31962.45117,162784.7656,164441.1406,128278.8047,175936.5313,146829.2344,143435.6719,42880.00781,76927.47656,88801.38281,166846.5469,64473.02344,79092.13281,64654.69922,58380.44141,53114.48047,56376.14063,47304.62891
65.38080341,664,3.373286165,127034.6953,73768.50781,134318.0625,151648.375,62790.97266,139763.7188,89833.59375,81351.71875,179454.9844,143407.1563,35153.1875,155942.2188,161920.9688,110930.3984,167108.2969,133933.375,142716.625,73276.72656,32925.69531,34247.96875,165643.25,22813.62109,25570.49023,60581.02344,51055.21094,40330.58203,50613.80078,25647.81445
121.2603183,3903,14.29193796,133735.0938,128980.1172,148411.1406,161717.2031,126036.6875,153396.875,133323.7813,122430.4063,171927.2031,143975.5625,77750.10156,143876.3594,152439.5313,123760.2266,160350.0469,150744.6094,140951.0625,121582.2813,90626.29688,99714.35156,160031.9375,73998.05469,93267.3125,64173.24609,59980.05078,56258.73828,59067.55859,50262.05078
608.867904,3916,4.906830669,124686.0781,55830.60156,115711.0469,140558.2344,48211.48828,123909.2031,77004.10938,53271.84766,176424.2969,136799.4531,28940.22656,155030.875,158595.1094,98636.17188,163706.7344,114515.7891,136006.5781,42401.68359,27560.36914,27615.08398,156691.8125,17600.58008,22243.7832,58328.79297,51055.21094,31085.94141,42970.53125,21577.83594
224.2818022,3900,6.186179567,151708.7813,139021.1563,153677.5,175534.4219,137816.1719,153677.5,140287.3438,135377.0313,178081.7188,154467.0625,118265.5625,159344.0156,167847.375,136053.5156,176520.7813,157930.4531,156139.0781,160902.7656,112596.1641,111370.0391,167722.6563,89887.14063,111592.0391,68934.22656,65508.39844,66880.60938,64901.85547,59556.05078
